lane_barcode	hgsc_xfer_subdir	batch	sample_id_nwd_id	run_name	current_cram_name	new_cram_name	result_path	cram_path
HH3JCCCXY-1	TMSOL	TMSOL_batch24a	NWD775060	171215_E00385_0556_AHH3JCCCXY_1	HH3JCCCXY-1.hgv.cram	NWD775060-HH3JCCCXY-1.hgv.cram	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-1	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-1/HH3JCCCXY-1.hgv.cram
HH3JCCCXY-3	TMSOL	TMSOL_batch24a	NWD863303	171215_E00385_0556_AHH3JCCCXY_3	HH3JCCCXY-3.hgv.cram	NWD863303-HH3JCCCXY-3.hgv.cram	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-3	/stornext/snfs110/next-gen/Illumina/Instruments/E00385/171215_E00385_0556_AHH3JCCCXY/Results/Project_HH3JCCCXY/Sample_HH3JCCCXY-3/HH3JCCCXY-3.hgv.cram
HGHJCCCXY-1	TMSOL	TMSOL_batch24a	NWD889319	171216_ST-E00238_0624_AHGHJCCCXY_1	HGHJCCCXY-1.hgv.cram	NWD889319-HGHJCCCXY-1.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-1	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-1/HGHJCCCXY-1.hgv.cram
HGHJCCCXY-2	TMSOL	TMSOL_batch24a	NWD598937	171216_ST-E00238_0624_AHGHJCCCXY_2	HGHJCCCXY-2.hgv.cram	NWD598937-HGHJCCCXY-2.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-2	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-2/HGHJCCCXY-2.hgv.cram
HGHJCCCXY-6	TMSOL	TMSOL_batch24a	NWD742238	171216_ST-E00238_0624_AHGHJCCCXY_6	HGHJCCCXY-6.hgv.cram	NWD742238-HGHJCCCXY-6.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-6	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-6/HGHJCCCXY-6.hgv.cram
HGHJCCCXY-7	TMSOL	TMSOL_batch24a	NWD579567	171216_ST-E00238_0624_AHGHJCCCXY_7	HGHJCCCXY-7.hgv.cram	NWD579567-HGHJCCCXY-7.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-7	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-7/HGHJCCCXY-7.hgv.cram
HGHJCCCXY-4	TMSOL	TMSOL_batch24a	NWD686568	171216_ST-E00238_0624_AHGHJCCCXY_4	HGHJCCCXY-4.hgv.cram	NWD686568-HGHJCCCXY-4.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-4	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-4/HGHJCCCXY-4.hgv.cram
HGHJCCCXY-8	TMSOL	TMSOL_batch24a	NWD178931	171216_ST-E00238_0624_AHGHJCCCXY_8	HGHJCCCXY-8.hgv.cram	NWD178931-HGHJCCCXY-8.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-8	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-8/HGHJCCCXY-8.hgv.cram
HGHJCCCXY-3	TMSOL	TMSOL_batch24a	NWD257011	171216_ST-E00238_0624_AHGHJCCCXY_3	HGHJCCCXY-3.hgv.cram	NWD257011-HGHJCCCXY-3.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-3	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-3/HGHJCCCXY-3.hgv.cram
HGHJCCCXY-5	TMSOL	TMSOL_batch24a	NWD831773	171216_ST-E00238_0624_AHGHJCCCXY_5	HGHJCCCXY-5.hgv.cram	NWD831773-HGHJCCCXY-5.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-5	/stornext/snfs100/next-gen/Illumina/Instruments/E00238/171216_ST-E00238_0624_AHGHJCCCXY/Results/Project_HGHJCCCXY/Sample_HGHJCCCXY-5/HGHJCCCXY-5.hgv.cram
