sample_id/nwd_id	lane_barcode	hgsc_xfer_subdir	batch	run_name	current_cram_name	new_cram_name	result_path	cram_path
NWD642599	HGHYVCCXY-2	TMSOL	TMSOL_batch24a	171220_E00538_0172_AHGHYVCCXY_2	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0172_AHGHYVCCXY/Results/Project_HGHYVCCXY/Sample_HGHYVCCXY-2	#N/A
NWD722223	HGHYVCCXY-8	TMSOL	TMSOL_batch24a	171220_E00538_0172_AHGHYVCCXY_8	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0172_AHGHYVCCXY/Results/Project_HGHYVCCXY/Sample_HGHYVCCXY-8	#N/A
NWD149340	HGHYVCCXY-5	TMSOL	TMSOL_batch24a	171220_E00538_0172_AHGHYVCCXY_5	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0172_AHGHYVCCXY/Results/Project_HGHYVCCXY/Sample_HGHYVCCXY-5	#N/A
NWD575145	HGHYVCCXY-4	TMSOL	TMSOL_batch24a	171220_E00538_0172_AHGHYVCCXY_4	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0172_AHGHYVCCXY/Results/Project_HGHYVCCXY/Sample_HGHYVCCXY-4	#N/A
NWD880600	HGHYVCCXY-7	TMSOL	TMSOL_batch24a	171220_E00538_0172_AHGHYVCCXY_7	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0172_AHGHYVCCXY/Results/Project_HGHYVCCXY/Sample_HGHYVCCXY-7	#N/A
NWD586469	HGHYVCCXY-1	TMSOL	TMSOL_batch24a	171220_E00538_0172_AHGHYVCCXY_1	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0172_AHGHYVCCXY/Results/Project_HGHYVCCXY/Sample_HGHYVCCXY-1	#N/A
NWD788762	HGHYVCCXY-3	TMSOL	TMSOL_batch24a	171220_E00538_0172_AHGHYVCCXY_3	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0172_AHGHYVCCXY/Results/Project_HGHYVCCXY/Sample_HGHYVCCXY-3	#N/A
NWD864465	HGHYVCCXY-6	TMSOL	TMSOL_batch24a	171220_E00538_0172_AHGHYVCCXY_6	#N/A	#N/A	/stornext/snfs150/next-gen/Illumina/Instruments/E00538/171220_E00538_0172_AHGHYVCCXY/Results/Project_HGHYVCCXY/Sample_HGHYVCCXY-6	#N/A
NWD214626	HHGGTCCXY-3	TMSOL	TMSOL_batch24a	171223_E00546_0258_BHHGGTCCXY_3	#N/A	#N/A	/stornext/snfs140/next-gen/Illumina/Instruments/E00546/171223_E00546_0258_BHHGGTCCXY/Results/Project_HHGGTCCXY/Sample_HHGGTCCXY-3	#N/A
NWD844951	HHGGTCCXY-7	TMSOL	TMSOL_batch24a	171223_E00546_0258_BHHGGTCCXY_7	#N/A	#N/A	/stornext/snfs140/next-gen/Illumina/Instruments/E00546/171223_E00546_0258_BHHGGTCCXY/Results/Project_HHGGTCCXY/Sample_HHGGTCCXY-7	#N/A
