lane_barcode	hgsc_xfer_subdir	batch	sample_id/nwd_id	run_name	current_cram_name	new_cram_name	cram_path
HFFJ5CCXY-6	CHS	CHS_batch29_2017-12-06	NWD720110	171125_ST-E00270_0575_BHFFJ5CCXY_6	HFFJ5CCXY-6.hgv.cram	NWD720110-HFFJ5CCXY-6.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0575_BHFFJ5CCXY/Results/Project_HFFJ5CCXY/Sample_HFFJ5CCXY-6/HFFJ5CCXY-6.hgv.cram
HFFJ5CCXY-5	CHS	CHS_batch29_2017-12-06	NWD627374	171125_ST-E00270_0575_BHFFJ5CCXY_5	HFFJ5CCXY-5.hgv.cram	NWD627374-HFFJ5CCXY-5.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0575_BHFFJ5CCXY/Results/Project_HFFJ5CCXY/Sample_HFFJ5CCXY-5/HFFJ5CCXY-5.hgv.cram
HFFJ5CCXY-1	CHS	CHS_batch29_2017-12-06	NWD479746	171125_ST-E00270_0575_BHFFJ5CCXY_1	HFFJ5CCXY-1.hgv.cram	NWD479746-HFFJ5CCXY-1.hgv.cram	/stornext/snfs140/next-gen/Illumina/Instruments/E00270/171125_ST-E00270_0575_BHFFJ5CCXY/Results/Project_HFFJ5CCXY/Sample_HFFJ5CCXY-1/HFFJ5CCXY-1.hgv.cram
HFJC3CCXY-4	CHS	CHS_batch29_2017-12-06	NWD724989	171126_E00296_0590_AHFJC3CCXY_4	HFJC3CCXY-4.hgv.cram	NWD724989-HFJC3CCXY-4.hgv.cram	/stornext/snfs120/next-gen/Illumina/Instruments/E00296/171126_E00296_0590_AHFJC3CCXY/Results/Project_HFJC3CCXY/Sample_HFJC3CCXY-4/HFJC3CCXY-4.hgv.cram
HFJC3CCXY-8	CHS	CHS_batch29_2017-12-06	NWD607936	171126_E00296_0590_AHFJC3CCXY_8	HFJC3CCXY-8.hgv.cram	NWD607936-HFJC3CCXY-8.hgv.cram	/stornext/snfs120/next-gen/Illumina/Instruments/E00296/171126_E00296_0590_AHFJC3CCXY/Results/Project_HFJC3CCXY/Sample_HFJC3CCXY-8/HFJC3CCXY-8.hgv.cram
HFJC3CCXY-2	CHS	CHS_batch29_2017-12-06	NWD837494	171126_E00296_0590_AHFJC3CCXY_2	HFJC3CCXY-2.hgv.cram	NWD837494-HFJC3CCXY-2.hgv.cram	/stornext/snfs120/next-gen/Illumina/Instruments/E00296/171126_E00296_0590_AHFJC3CCXY/Results/Project_HFJC3CCXY/Sample_HFJC3CCXY-2/HFJC3CCXY-2.hgv.cram
HFJC3CCXY-1	CHS	CHS_batch29_2017-12-06	NWD279469	171126_E00296_0590_AHFJC3CCXY_1	HFJC3CCXY-1.hgv.cram	NWD279469-HFJC3CCXY-1.hgv.cram	/stornext/snfs120/next-gen/Illumina/Instruments/E00296/171126_E00296_0590_AHFJC3CCXY/Results/Project_HFJC3CCXY/Sample_HFJC3CCXY-1/HFJC3CCXY-1.hgv.cram
HFJC3CCXY-3	CHS	CHS_batch29_2017-12-06	NWD912531	171126_E00296_0590_AHFJC3CCXY_3	HFJC3CCXY-3.hgv.cram	NWD912531-HFJC3CCXY-3.hgv.cram	/stornext/snfs120/next-gen/Illumina/Instruments/E00296/171126_E00296_0590_AHFJC3CCXY/Results/Project_HFJC3CCXY/Sample_HFJC3CCXY-3/HFJC3CCXY-3.hgv.cram
HFJC3CCXY-7	CHS	CHS_batch29_2017-12-06	NWD243841	171126_E00296_0590_AHFJC3CCXY_7	HFJC3CCXY-7.hgv.cram	NWD243841-HFJC3CCXY-7.hgv.cram	/stornext/snfs120/next-gen/Illumina/Instruments/E00296/171126_E00296_0590_AHFJC3CCXY/Results/Project_HFJC3CCXY/Sample_HFJC3CCXY-7/HFJC3CCXY-7.hgv.cram
HFJC3CCXY-6	CHS	CHS_batch29_2017-12-06	NWD427074	171126_E00296_0590_AHFJC3CCXY_6	HFJC3CCXY-6.hgv.cram	NWD427074-HFJC3CCXY-6.hgv.cram	/stornext/snfs120/next-gen/Illumina/Instruments/E00296/171126_E00296_0590_AHFJC3CCXY/Results/Project_HFJC3CCXY/Sample_HFJC3CCXY-6/HFJC3CCXY-6.hgv.cram
